Subject	BrainSeg	BrainSegNotVent	BrainSegNotVentSurf	VentricleChoroidVol	lhCortex	rhCortex	Cortex	lhCerebralWhiteMatter	rhCerebralWhiteMatter	CerebralWhiteMatter	SubCortGray	TotalGray	SupraTentorial	SupraTentorialNotVent	SupraTentorialNotVentVox	Mask	BrainSegVol-to-eTIV	MaskVol-to-eTIV	lhSurfaceHoles	rhSurfaceHoles	SurfaceHoles	EstimatedTotalIntraCranialVol	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus-Proper	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus-Proper	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior
sub-0003001_ses-1_run-1	1249759.000000	1226461.000000	1226612.231435	17540.000000	275893.978941	275026.690378	550920.669319	226255.538262	225081.023854	451336.562116	62944.000000	747908.669319	1085902.231435	1068362.231435	1064944.000000	1702564.000000	0.787154	1.072350	47	43	90	1587693.672148	9138.6	364.2	14945.6	65959.5	8405.6	4085.9	5466.6	2129.7	984.4	3591.5	23201.7	3864.3	1837.9	1316.9	676.0	4518.7	26.8	522.5	6852.4	413.2	13484.1	66503.5	8280.4	4082.1	5515.7	1901.2	3958.6	1925.5	705.9	4299.1	22.3	520.1	0.0	647.3	0.0	0.0	0.0	0.0	0.0	150.2	1046.0	437.4	519.3	573.6	957.8
sub-0003002_ses-1_run-1	1129894.000000	1114477.000000	1114537.106173	12586.000000	243704.290671	241043.290848	484747.581519	218029.640205	216353.884449	434383.524654	59005.000000	652549.581519	992636.106173	980050.106173	977989.000000	1505975.000000	0.789252	1.051951	29	34	63	1431601.659418	6431.1	172.3	14858.5	53816.3	8044.6	4357.7	4747.5	2038.1	645.7	1370.4	20024.7	3740.1	1563.6	947.2	625.0	3831.7	35.3	294.7	5388.3	311.2	13551.3	54382.9	7467.9	4507.9	4990.1	1837.2	4006.8	1634.9	591.8	3964.0	22.7	406.6	0.0	368.5	0.0	0.0	0.0	0.0	0.0	145.6	1349.4	744.5	713.7	716.1	1055.3
sub-0003004_ses-1_run-1	1221913.000000	1201931.000000	1202202.895665	16234.000000	260644.936133	262974.970500	523619.906634	240469.624704	239124.364328	479593.989031	62704.000000	695579.906634	1084958.895665	1068724.895665	1065537.000000	1626015.000000	0.765455	1.018601	39	59	98	1596322.435362	7029.5	738.5	14834.2	53943.0	8007.1	4557.6	5192.5	2132.3	1040.0	1728.3	20704.2	4214.9	1639.2	992.0	526.6	4345.2	15.2	598.7	7086.7	488.9	12914.1	53955.5	7844.1	4795.0	5355.5	1978.1	4117.4	2058.7	483.3	4215.5	13.5	584.9	0.0	598.1	0.0	0.0	0.0	0.0	0.0	136.3	1248.1	647.0	593.7	672.9	1017.6
sub-0003006_ses-1_run-1	1120455.000000	1104149.000000	1104303.377222	13733.000000	237777.852633	237894.058806	475671.911439	218564.195129	217207.270654	435771.465782	56416.000000	642465.911439	983865.377222	970132.377222	967612.000000	1455048.000000	0.811392	1.053692	28	21	49	1380904.409031	5976.9	145.3	13934.4	55210.5	7245.4	3697.9	5541.3	1941.7	681.1	1217.8	17951.0	3493.7	1370.8	743.1	503.4	3787.8	35.3	650.2	6422.5	240.1	12721.9	54551.1	7105.8	3805.3	5486.1	1871.7	3620.9	1390.5	641.1	3785.4	15.7	512.0	0.0	260.8	0.0	0.0	0.0	0.0	0.0	139.3	1152.3	692.0	640.8	577.8	1058.1
sub-0003007_ses-1_run-1	1361766.000000	1316048.000000	1316211.751409	41113.000000	277301.270753	276632.604666	553933.875419	272622.379027	271322.496964	543944.875991	66261.000000	740953.875419	1207617.751409	1166504.751409	1163835.000000	1818585.000000	0.757089	1.011062	36	40	76	1798687.262265	21320.8	750.1	16412.5	58787.8	8836.7	4368.2	5439.3	2187.7	1022.2	2468.2	24787.5	4478.8	2026.2	1173.0	565.4	4797.7	35.6	820.4	17063.7	500.8	15712.0	61017.6	8593.9	4391.7	5300.9	2108.2	4515.4	2203.1	557.7	4599.2	20.8	742.7	0.0	984.7	0.0	0.0	0.0	0.0	0.0	192.6	1351.7	539.7	557.9	713.6	963.7
sub-0003008_ses-1_run-1	1098974.000000	1085098.000000	1085279.132984	10787.000000	241914.728537	240967.177054	482881.905591	213228.512228	210520.715165	423749.227393	56859.000000	639096.905591	975993.132984	965206.132984	963172.000000	1467793.000000	0.771278	1.030121	19	30	49	1424874.919529	5234.9	197.5	11499.9	49119.0	8038.6	3389.1	4772.2	2155.0	764.7	1516.4	18977.1	3760.3	1547.5	883.5	517.0	3850.4	16.0	263.1	4425.5	615.8	11493.3	49695.1	7653.7	3645.3	5181.3	1642.7	3909.6	1576.9	526.7	3819.1	10.6	290.2	0.0	230.1	0.0	0.0	0.0	0.0	0.0	176.8	955.8	564.4	631.7	692.2	1051.6
sub-0003009_ses-1_run-1	1333308.000000	1312844.000000	1313122.024639	16031.000000	278622.089118	279612.119748	558234.208867	262240.673300	261168.142473	523408.815773	67911.000000	760352.208867	1168181.024639	1152150.024639	1149336.000000	1804058.000000	0.775166	1.048853	26	31	57	1720029.733529	7563.3	376.7	15656.8	66137.4	8262.2	4167.7	6149.8	2448.9	886.4	2689.3	23574.0	4463.4	1916.8	910.5	772.6	4784.2	84.1	496.2	6853.8	518.8	14798.2	67048.3	8229.7	4296.5	6374.9	2299.8	4927.2	2137.8	754.1	4611.6	149.5	543.7	0.0	794.9	0.0	0.0	0.0	0.0	0.0	237.1	1058.0	597.1	537.1	518.2	976.1
sub-0003010_ses-1_run-1	1036523.000000	1020731.000000	1020544.240563	13104.000000	243371.622259	240731.480779	484103.103038	183324.275003	179735.862521	363060.137525	52129.000000	632082.103038	914817.240563	901713.240563	899396.000000	1388788.000000	0.776367	1.040217	31	33	64	1335094.427473	5551.9	278.9	13733.3	47666.9	6586.9	3320.7	4818.5	1774.7	694.5	1135.1	16989.6	3629.9	1418.5	899.3	503.1	3687.5	10.2	450.7	6223.4	322.6	12265.6	47534.5	6313.6	3495.2	4739.2	1645.1	3732.0	1374.8	440.9	3553.7	18.6	515.8	0.0	666.5	0.0	0.0	0.0	0.0	0.0	131.6	637.7	520.4	642.7	407.7	737.4
sub-0003011_ses-1_run-1	996532.000000	976819.000000	976866.906440	15835.000000	234244.262638	236366.573472	470610.836110	170562.310840	169860.759490	340423.070330	48942.000000	616166.836110	877912.906440	862077.906440	859762.000000	1383494.000000	0.758260	1.052699	20	26	46	1314234.610479	7466.2	527.9	10640.2	47470.5	6107.8	2871.4	4480.2	1606.6	1436.3	1553.0	15736.8	3555.4	1418.3	970.8	429.6	3456.5	18.6	535.5	6329.7	640.5	10362.8	48500.4	5987.8	3082.0	4404.9	1460.3	3582.6	1468.0	481.9	3379.7	18.9	557.2	0.0	418.4	0.0	0.0	0.0	0.0	0.0	255.1	760.2	485.7	652.1	588.3	761.8
sub-0003012_ses-1_run-1	1281523.000000	1251913.000000	1251750.237917	25049.000000	274394.011979	274579.968217	548973.980195	246842.614655	245462.643067	492305.257722	64680.000000	733022.980195	1133685.237917	1108636.237917	1106025.000000	1769329.000000	0.748724	1.033723	36	53	89	1711609.088788	11018.6	429.7	14210.0	57763.3	8424.3	3749.7	5724.6	2305.4	1529.0	1550.8	23081.4	4616.8	1794.9	1531.9	568.0	4858.2	36.7	702.3	11765.0	679.1	12996.7	60468.8	8157.9	3871.1	5449.6	2153.8	4444.2	1970.5	523.5	4700.1	33.1	658.7	0.0	819.0	0.0	0.0	0.0	0.0	0.0	167.9	1111.9	654.9	501.1	482.6	994.6
